2024-07-25 08:00:40,173 INFO    MainThread:46936 [wandb_setup.py:_flush():76] Current SDK version is 0.17.4
2024-07-25 08:00:40,174 INFO    MainThread:46936 [wandb_setup.py:_flush():76] Configure stats pid to 46936
2024-07-25 08:00:40,174 INFO    MainThread:46936 [wandb_setup.py:_flush():76] Loading settings from C:\Users\JK\.config\wandb\settings
2024-07-25 08:00:40,174 INFO    MainThread:46936 [wandb_setup.py:_flush():76] Loading settings from C:\Users\JK\PycharmProjects\2025_AAAI\wandb\settings
2024-07-25 08:00:40,174 INFO    MainThread:46936 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-25 08:00:40,174 INFO    MainThread:46936 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-25 08:00:40,174 INFO    MainThread:46936 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'run.py', 'program_abspath': 'C:\\Users\\JK\\PycharmProjects\\2025_AAAI\\run.py', 'program': 'C:\\Users\\JK\\PycharmProjects\\2025_AAAI\\run.py'}
2024-07-25 08:00:40,174 INFO    MainThread:46936 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-25 08:00:40,175 INFO    MainThread:46936 [wandb_init.py:_log_setup():529] Logging user logs to C:\Users\JK\PycharmProjects\2025_AAAI\wandb\run-20240725_080040-nv2vcnwf\logs\debug.log
2024-07-25 08:00:40,175 INFO    MainThread:46936 [wandb_init.py:_log_setup():530] Logging internal logs to C:\Users\JK\PycharmProjects\2025_AAAI\wandb\run-20240725_080040-nv2vcnwf\logs\debug-internal.log
2024-07-25 08:00:40,175 INFO    MainThread:46936 [wandb_init.py:init():569] calling init triggers
2024-07-25 08:00:40,175 INFO    MainThread:46936 [wandb_init.py:init():576] wandb.init called with sweep_config: {}
config: {}
2024-07-25 08:00:40,175 INFO    MainThread:46936 [wandb_init.py:init():619] starting backend
2024-07-25 08:00:40,175 INFO    MainThread:46936 [wandb_init.py:init():623] setting up manager
2024-07-25 08:00:40,178 INFO    MainThread:46936 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-07-25 08:00:40,180 INFO    MainThread:46936 [wandb_init.py:init():631] backend started and connected
2024-07-25 08:00:40,186 INFO    MainThread:46936 [wandb_init.py:init():720] updated telemetry
2024-07-25 08:00:40,188 INFO    MainThread:46936 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-07-25 08:00:40,796 INFO    MainThread:46936 [wandb_run.py:_on_init():2402] communicating current version
2024-07-25 08:00:40,828 INFO    MainThread:46936 [wandb_run.py:_on_init():2411] got version response upgrade_message: "wandb version 0.17.5 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-07-25 08:00:40,828 INFO    MainThread:46936 [wandb_init.py:init():804] starting run threads in backend
2024-07-25 08:00:41,148 INFO    MainThread:46936 [wandb_run.py:_console_start():2380] atexit reg
2024-07-25 08:00:41,148 INFO    MainThread:46936 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-07-25 08:00:41,148 INFO    MainThread:46936 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-07-25 08:00:41,149 INFO    MainThread:46936 [wandb_run.py:_redirect():2325] Redirects installed.
2024-07-25 08:00:41,151 INFO    MainThread:46936 [wandb_init.py:init():847] run started, returning control to user process
2024-07-25 08:00:41,152 INFO    MainThread:46936 [wandb_run.py:_config_callback():1382] config_cb None None {'type': 'AAAI', 'attention_bool': 'True', 'model': 'Transformer', 'dropout': 0.5, 'num_stocks': 29, 'seq_len': 20, 'label_len': 5, 'pred_len': 5, 'modes': 64, 'enc_in': 16, 'dec_in': 16, 'c_out': 16, 'd_model': 256, 'n_heads': 4, 'e_layers': 2, 'd_layers': 1, 'output_attention': True, 'embed': 'timeF', 'freq': 'd', 'factor': 1, 'd_ff': 512, 'activation': 'gelu', 'use_norm': True}
